product_id,fullname,brand,url_part,review_url,test_bench_id,test_bench_version,released_at,last_updated_at,first_published_at,sizes_available,sku_count,panel_type,backlight_type,resolution,native_refresh_rate,dimming_zone_count,black_level_score,bright_room,brightness_score,color_score,game_mode_responsiveness,gaming,home_theater,mixed_usage,sports,backlight_chart,backlight_chart_thumb,contrast_ratio,contrast_ratio_display,contrast_ratio_score,dimming_zone_count_display,dimming_zone_count_score,first_response_time_ms,first_response_time_ms_display,first_response_time_ms_score,hdmi_21_speed,hdmi_forum_vrr,hdmi_ports,hdr_bt2020_coverage_itp_pct,hdr_bt2020_coverage_itp_pct_display,hdr_bt2020_coverage_itp_pct_score,hdr_peak_100pct_nits,hdr_peak_100pct_nits_display,hdr_peak_100pct_nits_score,hdr_peak_10pct_nits,hdr_peak_10pct_nits_display,hdr_peak_10pct_nits_score,hdr_peak_25pct_nits,hdr_peak_25pct_nits_display,hdr_peak_25pct_nits_score,hdr_peak_2pct_nits,hdr_peak_2pct_nits_display,hdr_peak_2pct_nits_score,hdr_peak_50pct_nits,hdr_peak_50pct_nits_display,hdr_peak_50pct_nits_score,input_lag_1080p_ms,input_lag_1080p_ms_display,input_lag_1080p_ms_score,input_lag_4k_ms,input_lag_4k_ms_display,input_lag_4k_ms_score,native_contrast,native_contrast_display,native_contrast_score,panel_sub_type,sdr_bt2020_coverage_pct,sdr_bt2020_coverage_pct_display,sdr_bt2020_coverage_pct_score,sdr_dci_p3_coverage_pct,sdr_dci_p3_coverage_pct_display,sdr_dci_p3_coverage_pct_score,sdr_peak_10pct_nits,sdr_peak_10pct_nits_display,sdr_peak_10pct_nits_score,sdr_peak_2pct_nits,sdr_peak_2pct_nits_display,sdr_peak_2pct_nits_score,sdr_real_scene_peak_nits,sdr_real_scene_peak_nits_display,sdr_real_scene_peak_nits_score,spd_image,spd_image_local,spd_image_thumb,total_response_time_ms,total_response_time_ms_display,total_response_time_ms_score,vrr_support,scraped_at,image_url,reviewed_sku_id
82692,Amazon Fire TV Omni Mini-LED Series,Amazon,amazon-fire-tv-omni-mini-led-series,https://www.rtings.com/tv/reviews/amazon/fire-tv-omni-mini-led-series,197,v2.0.1,2024-11-13 19:00:01 -0500,2025-08-18 10:51:54 -0400,2025-03-31 10:39:31 -0400,"55"" (ML55F700); 65"" (ML65F700); 75"" (ML75F700); 85"" (ML85F700)",4,LCD,,4k,144Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,VA,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/amazon-fire-tv-omni-mini-led-series_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/mhuADPyy/amazon-fire-tv-omni-mini-led-series/design-small.jpg?format=auto,12184
117447,Hisense 100U8QG,Hisense,hisense-100u8qg,https://www.rtings.com/tv/reviews/hisense/100u8qg,197,v2.0.1,2025-05-01 00:00:00 -0400,2025-11-25 17:30:50 -0500,2025-11-12 11:07:22 -0500,"100"" (100U8QG)",1,LCD,,4k,165Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,VA,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-100u8qg_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/SZmXyGba/hisense-100u8qg/design-small.jpg?format=auto,15662
61045,Hisense 75U8N,Hisense,hisense-75u8n,https://www.rtings.com/tv/reviews/hisense/75u8n,197,v2.0.1,2024-04-01 00:00:00 -0400,2025-05-08 10:57:38 -0400,2024-08-21 10:20:13 -0400,"75"" (75U8N)",1,LCD,,4k,144Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,IPS,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-75u8n_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/iG5T2sCC/hisense-75u8n/design-small.jpg?format=auto,10953
102827,Hisense 98QD5QG,Hisense,hisense-98qd5qg,https://www.rtings.com/tv/reviews/hisense/98qd5qg,197,v2.0.1,2025-05-31 20:00:01 -0400,2025-11-25 17:35:32 -0500,2025-11-21 16:03:08 -0500,"98"" (98QD5QG)",1,LCD,,4k,144Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,IPS,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-98qd5qg_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/qu5ZQ5jO/hisense-98qd5qg/design-small.jpg?format=auto,15703
59962,Hisense U9N,Hisense,hisense-u9n,https://www.rtings.com/tv/reviews/hisense/u9n,197,v2.0.1,2024-08-01 00:00:00 -0400,2025-05-08 10:57:38 -0400,2025-01-23 15:20:50 -0500,"75"" (75U9N); 85"" (85U9N)",2,LCD,,4k,144Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,IPS,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u9n_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/Qx1aUXCw/hisense-u9n/design-small.jpg?format=auto,12091
55174,LG QNED90T,LG,lg-qned90t,https://www.rtings.com/tv/reviews/lg/qned90t,197,v2.0.1,2024-03-01 00:00:00 -0500,2025-10-07 15:54:38 -0400,2024-08-13 14:13:21 -0400,"65"" (65QNED90TUA); 75"" (75QNED90TUA); 86"" (86QNED90TUA)",3,LCD,,4k,120Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,VA,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-qned90t_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/8fCTMoX8/lg-qned90t/design-small.jpg?format=auto,10835
74026,Panasonic Z85A OLED,Panasonic,panasonic-z85a-oled,https://www.rtings.com/tv/reviews/panasonic/z85a-oled,197,v2.0.1,2024-09-18 00:00:00 -0400,2025-09-03 14:46:37 -0400,2024-10-16 10:20:02 -0400,"55"" (TV-55Z85AP); 65"" (TV-65Z85AP)",2,OLED,,4k,120Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,WOLED,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/panasonic-z85a-oled_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/niCNPg9T/panasonic-z85a-oled/design-small.jpg?format=auto,11580
74024,Panasonic Z95A OLED,Panasonic,panasonic-z95a-oled,https://www.rtings.com/tv/reviews/panasonic/z95a-oled,197,v2.0.1,2024-09-18 00:00:00 -0400,2025-09-04 13:40:28 -0400,2024-10-16 09:58:18 -0400,"65"" (TV-65Z95AP)",1,OLED,,4k,144Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,WOLED,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/panasonic-z95a-oled_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/8Ap2W57w/panasonic-z95a-oled/design-small.jpg?format=auto,11650
92761,Philips 974 Series OLED,Philips,philips-974-series-oled,https://www.rtings.com/tv/reviews/philips/974-series-oled,197,v2.0.1,2025-02-15 00:00:00 -0500,2025-07-08 12:13:11 -0400,2025-07-08 12:13:11 -0400,"65"" (65OLED974/F7)",1,OLED,,4k,120Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,WOLED,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/philips-974-series-oled_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/lgOC4Fbb/philips-974-series-oled/design-small.jpg?format=auto,13771
37906,Roku Select Series 2023,Roku,roku-select-series-2023,https://www.rtings.com/tv/reviews/roku/select-series,197,v2.0.1,2023-03-01 00:00:00 -0500,2025-05-08 10:57:38 -0400,2023-11-24 11:31:19 -0500,"24"" (24R2A5R); 32"" (32R2A5R); 40"" (40R2A5R); 43"" (43R4A5R); 50"" (50R4A5R); 55"" (55R4A5R); 65"" (65R4A5R); 75"" (75R4A5R)",8,LCD,,4k,60Hz,,,,,,,,,,,https://i.rtings.com/assets/sample-images/tv/backlight-large.jpg?format=auto,https://i.rtings.com/assets/sample-images/tv/backlight-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> : 1",,"<span class=""e-blurred"">Lock</span>",,,"<span class=""e-blurred"">Lock</span> ms",,,,,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> ms",,,"<span class=""e-blurred"">Lock</span> : 1",,VA,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span>%",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,,"<span class=""e-blurred"">Lock</span> cd/m²",,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/roku-select-series-2023_spd.jpg,https://i.rtings.com/assets/sample-images/tv/spd-small.jpg?format=auto,,"<span class=""e-blurred"">Lock</span> ms",,,2026-03-16T14:13:25.030323+00:00,https://i.rtings.com/assets/products/syGT2I5I/roku-select-series/design-small.jpg?format=auto,9663
